ticker,event,gpu,rule,actual_rule,base_outcome,direction,radius_log,radius_pct
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,terminal,terminal,yes,down,0.0384662808278,3.92156862745
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,mean5,terminal,yes,down,0.109562202512,11.5789473684
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,median7,terminal,yes,down,0.00975617494537,0.980392156863
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,month_mean,terminal,yes,down,0.0683192439775,7.07070707071
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,terminal,terminal,yes,down,0.00985229644301,0.990099009901
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,mean5,terminal,yes,down,0.111791405988,11.8279569892
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,median7,terminal,yes,down,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,month_mean,terminal,yes,down,0.144581228811,15.5555555556
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,terminal,terminal,no,up,0.00985229644301,0.990099009901
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,terminal,terminal,no,down,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,mean5,terminal,yes,down,0.00966191091174,0.970873786408
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,median7,terminal,no,up,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,median7,terminal,no,down,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,month_mean,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,month_mean,terminal,no,down,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26JUL10-1.02,KXA100W-26JUL10,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,terminal,terminal,no,up,0.00975617494537,0.980392156863
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,terminal,terminal,no,down,,
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,mean5,terminal,no,up,0.0845573880281,8.82352941176
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,mean5,terminal,no,down,,
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,median7,terminal,no,up,,
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,median7,terminal,no,down,,
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,month_mean,terminal,no,up,0.0663750689449,6.86274509804
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,month_mean,terminal,no,down,,
